income	y
12	0
13	0
14	1
14	0
14	0
14	1
14	0
14	0
14	0
14	0
15	0
15	1
15	0
15	0
15	0
15	0
15	1
15	0
15	0
15	0
15	0
15	0
15	0
15	0
16	0
16	0
16	0
16	0
16	0
16	0
16	0
16	0
16	0
17	0
17	1
17	0
17	0
17	0
17	0
17	0
17	1
19	0
19	0
19	1
19	0
19	0
20	0
20	0
20	0
20	0
20	0
20	0
20	0
21	0
21	0
22	1
24	0
24	0
25	0
25	0
25	0
25	0
25	0
25	0
25	0
25	0
25	1
25	1
26	0
29	0
30	0
30	0
30	0
30	1
30	1
32	1
32	1
32	1
32	1
32	1
32	1
34	1
34	1
34	1
35	0
35	0
35	1
35	1
35	1
39	0
40	0
42	0
47	0
60	1
60	1
60	1
60	1
60	1
60	1
65	1
